epoch,train_loss,val_levenshtein,best_val
1,3.197000,3.283333,3.283333
2,0.715089,0.613667,0.613667
3,0.330780,0.362000,0.362000
4,0.254383,0.318333,0.318333
5,0.219852,0.274000,0.274000
6,0.198425,0.316000,0.274000
7,0.184949,0.242333,0.242333
8,0.169113,0.237333,0.237333
9,0.158861,0.224333,0.224333
10,0.153174,0.225667,0.224333
11,0.143129,0.220333,0.220333
12,0.141007,0.212667,0.212667
13,0.136274,0.206667,0.206667
14,0.126683,0.222667,0.206667
15,0.121395,0.193667,0.193667
16,0.118163,0.211333,0.193667
17,0.120135,0.198333,0.193667
18,0.109383,0.185000,0.185000
19,0.103533,0.178333,0.178333
20,0.100178,0.174333,0.174333
