epoch,train_loss,val_levenshtein,best_val
1,2.044747,0.635333,0.635333
2,0.303023,0.332667,0.332667
3,0.218441,0.280000,0.280000
4,0.181979,0.224667,0.224667
5,0.160407,0.266333,0.224667
6,0.144514,0.208000,0.208000
7,0.134471,0.204667,0.204667
8,0.124125,0.190667,0.190667
9,0.114890,0.204333,0.190667
10,0.112132,0.191333,0.190667
11,0.103818,0.186667,0.186667
12,0.097692,0.190333,0.186667
13,0.097147,0.204333,0.186667
14,0.090739,0.197000,0.186667
15,0.091538,0.207667,0.186667
16,0.080964,0.205000,0.186667
17,0.080157,0.182333,0.182333
18,0.075404,0.184333,0.182333
19,0.072815,0.170667,0.170667
20,0.072489,0.207333,0.170667
