epoch,train_loss,val_levenshtein,best_val
1,2.946993,1.322667,1.322667
2,0.479503,0.394667,0.394667
3,0.269575,0.331333,0.331333
4,0.214311,0.361667,0.331333
5,0.187944,0.235000,0.235000
6,0.168403,0.235000,0.235000
7,0.153063,0.210333,0.210333
8,0.146378,0.210333,0.210333
9,0.135427,0.212333,0.210333
10,0.133641,0.210000,0.210000
11,0.132599,0.197333,0.197333
12,0.123557,0.201000,0.197333
13,0.129018,0.231333,0.197333
14,0.123853,0.214667,0.197333
15,0.130126,0.352000,0.197333
16,0.129385,0.181000,0.181000
17,0.117043,0.177667,0.177667
18,0.103671,0.193667,0.177667
19,0.096508,0.223667,0.177667
20,0.105247,0.184667,0.177667
