epoch,train_loss,val_levenshtein,best_val
1,3.450060,3.868000,3.868000
2,0.671134,0.527000,0.527000
3,0.301726,0.350333,0.350333
4,0.231371,0.372667,0.350333
5,0.195660,0.257000,0.257000
6,0.176716,0.278667,0.257000
7,0.158550,0.231667,0.231667
8,0.147360,0.247333,0.231667
9,0.138056,0.237667,0.231667
10,0.127622,0.258667,0.231667
11,0.125165,0.211333,0.211333
12,0.118700,0.255667,0.211333
13,0.115021,0.196667,0.196667
14,0.104677,0.189000,0.189000
15,0.101138,0.200000,0.189000
16,0.098677,0.196667,0.189000
17,0.096100,0.190667,0.189000
18,0.094313,0.196333,0.189000
19,0.089823,0.207667,0.189000
20,0.085043,0.177667,0.177667
